bundestag_id;nachname;vorname;wp;fraktion;full_name;twitter_handle;account_type;activity;;
11005000;Abdi;Sanae;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Sanae Abdi;_sanaeabdi;person;1;;
11005001;Abel;Valentin;20;Fraktion der Freien Demokratischen Partei;Valentin Abel;Valentin_C_Abel;person;1;;
11005002;Abraham;Knut;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Knut Abraham;Knut_Abraham;person;1;;
11005003;Adler;Katja;20;Fraktion der Freien Demokratischen Partei;Katja Adler;katjadler;person;1;;
11005004;Aeffner;Stephanie;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Stephanie Aeffner;s_aeffner;person;1;;
11005005;Ahmetovic;Adis;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Adis Ahmetovic;NA;person;NA;;
11004653;Akbulut;Gökay;20;Fraktion DIE LINKE.;Gökay Akbulut;AkbulutGokay;person;1;;
11005007;Al-Dailami;Ali;20;Fraktion DIE LINKE.;Ali Al-Dailami;ali_aldailami;person;1;;
11005008;Al-Halak;Muhanad;20;Fraktion der Freien Demokratischen Partei;Muhanad Al-Halak;HalakMuhanad;person;1;;
11005006;Alabali-Radovan;Reem;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Reem Alabali-Radovan;ReemAlabali;person;1;;
11004241;Albani;Stephan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Stephan Albani;Stephan_Alban;person;0;;
11004654;Alt;Renata;20;Fraktion der Freien Demokratischen Partei;Renata Alt;RenataAlt_MdB;person;1;;
11004655;Altenkamp;Norbert Maria;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Norbert Maria Altenkamp;NAltenkamp;person;0;;
11004656;Amthor;Philipp;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Philipp Amthor;Philipp_Amthor;person;1;;
11004243;Amtsberg;Luise;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Luise Amtsberg;NA;person;NA;;
11005009;Andres;Dagmar;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Dagmar Andres;DagmarAndres;person;1;;
11003732;Annen;Niels;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Niels Annen;NielsAnnen;person;1;;
11005010;Arlt;Johannes;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Johannes Arlt;arlt_johannes;person;1;;
11004003;Aschenberg-Dugnus;Christine;20;Fraktion der Freien Demokratischen Partei;Christine Aschenberg-Dugnus;cad59;person;1;;
11005011;Audretsch;Andreas;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Andreas Audretsch;AnAudretsch;person;1;;
11003706;Auernhammer;Artur;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Artur Auernhammer;NA;person;NA;;
11004004;Aumer;Peter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Peter Aumer;PeterAumer;person;1;;
11005012;Außendorf;Maik;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Maik Außendorf;maik_aussendorf;person;1;;
11005013;Bacherle;Tobias;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Tobias Bacherle;TBBacherle;person;1;;
11005014;Bachmann;Carolin;20;Alternative für Deutschland;Carolin Bachmann;NA;person;NA;;
11004659;Badum;Lisa;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Lisa Badum;badulrichmartha;person;1;;
11004244;Baehrens;Heike;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Heike Baehrens;NA;person;NA;;
11004245;Baerbock;Annalena;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Annalena Baerbock;ABaerbock;person;1;;
11004246;Bahr;Ulrike;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Ulrike Bahr;MdB_Ulrike_Bahr;person;1;;
11005015;Baldy;Daniel;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Daniel Baldy;baldy_daniel;person;1;;
11005016;Banaszak;Felix;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Felix Banaszak;fbanaszak;person;1;;
11003586;Bär;Dorothee;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Dorothee Bär;DoroBaer;person;1;;
11005017;Bär;Karl;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Karl Bär;karlbaer;person;1;;
