bundestag_id;twitter_handle;account_type
11005000;_sanaeabdi;person
11005001;Valentin_C_Abel;person
11005002;Knut_Abraham;person
11005003;katjadler;person
11005004;s_aeffner;person
11005005;NA;person
11004653;AkbulutGokay;person
11005007;ali_aldailami;person
11005008;HalakMuhanad;person
11005006;ReemAlabali;person
11004241;NA;person
11004654;RenataAlt_MdB;person
11004655;NAltenkamp;person
11004656;Philipp_Amthor;person
11004243;NA;person
11005009;DagmarAndres;person
11003732;NielsAnnen;person
11005010;arlt_johannes;person
11004003;cad59;person
11005011;AnAudretsch;person
11003706;NA;person
11004004;PeterAumer;person
11005012;maik_aussendorf;person
11005013;TBBacherle;person
11005014;NA;person
11004659;badulrichmartha;person
11004244;NA;person
11004245;ABaerbock;person
11004246;MdB_Ulrike_Bahr;person
11005015;baldy_daniel;person
11005016;fbanaszak;person
11003586;DoroBaer;person
11005017;karlbaer;person
11004947;NBaradari;person
11003734;Thomas_Bareiss;person
11003496;soerenbartol;person
11003034;DietmarBartsch;person
11004006;baerbelbas;person
11004661;nicole_ae_bauer;person
11005018;DrChristinaBaum;person
11004662;BerndBaumannAfD;person
11004665;LieblingXhain;person
11005019;kathabeck;person
11005020;RogerBeckamp;person
11005021;Holger_SciTec;person
11004666;jensbeeck;person
11005022;LukasBenner_;person
11005023;NA;person
11004252;NA;person
11005024;BengtBergt;person
11004669;MarcBernhardAfD;person
11004010;Peter_Beyer;person
11004673;MBiadaczMdB;person
11004011;SteffenBilger;person
11004012;MWBirkwald;person
11005025;JakobBla;person
11004674;andreasbleckmdb;person
11005026;NA;person
11005027;IngoBodtke;person
11004675;PeterBoehringer;person
11005028;f_boginski;person
11005029;NA;person
11005030;NA;person
11003742;NA;person
11004676;JBrandenburgFDP;person
11004677;BraFDP;person
11005031;NA;person
11004018;reinhardbrandl;person
11004678;StBrandner;person
11004255;fbrantner;person
11003510;HBraun;person
11004680;JuergenBraunAfD;person
11004681;BreherSilvia;person
11004682;Brehm_inNBGNord;person
11004019;HeikeBrehmerMdB;person
11005032;m_breilmann;person
11004683;LeniBreymaier;person
11004021;rbrinkhaus;person
11004684;NA;person
11005033;therealmarlonb1;person
11004106;agnieszka_mdb;person
11005034;FBsirske;person
11004956;Bubendorferfdp;person
11004686;NA;person
11004687;Marcus_Buehl;person
11005289;C_AB_;person
11005035;YannickBury;person
11004023;MarcoBuschmann;person
11004690;busen_mdb;person
11004692;PetrBystronAfD;person
11005036;isacademartori;person
11004257;larscastellucci;person
11004694;annachristmann;person
11004695;Tino_Chrupalla;person
11003514;gitta_connemann;person
11004639;juergencosse;person
11004696;JoanaCotar;person
11004697;cjcronenberg;person
11004698;GottfriedCurio;person
11005037;MarioCzaja;person
11003746;SevimDagdelen;person
11004962;janoschdahmen;person
11004258;BernhardDaldrup;person
11004699;NA;person
11003068;ekindeligoez;person
11005038;HakanDemirNK;person
11005039;detzer_sandra;person
11004259;KarambaDiaby;person
11005040;MDiedenhofen;person
11005041;JanUlrichDieren;person
11005042;ThomasDietz_MdB;person
11004701;NA;person
11004261;dittmarsabine;person
11004029;DjirSarai;person
11003516;NA;person
11004703;anked;person
11004262;NA;person
11005043;NA;person
11004263;katdro;person
11005044;NA;person
11005045;DeborahDuering;person
11004705;christianduerr;person
11004264;Hansjoerg_Durz;person
11004215;ebner_sha;person
11005046;NA;person
11005047;Leckert_;person
11005048;NA;person
11004707;Thomas_Ehrhorn;person
