bundestag_id;nachname;vorname;wp;fraktion;twitter_handle;account_type
11000756;Gysi;Gregor;20;Fraktion DIE LINKE.;GregorGysi;person
11000975;Hüppe;Hubert;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;HueppeMdB;person
11001235;Kubicki;Wolfgang;20;Fraktion der Freien Demokratischen Partei;;person
11001772;Ramsauer;Peter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11001938;Schäuble;Wolfgang;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11002666;Gröhe;Hermann;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;groehe;person
11002667;Grund;Manfred;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11002718;Laschet;Armin;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;ArminLaschet;person
11002720;Lemke;Steffi;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;SteffiLemke;person
11002733;Meister;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;meister_schafft;person
11002735;Merz;Friedrich;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;_friedrichmerz;person
11002746;Özdemir;Cem;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;cem_oezdemir;person
11002754;Rachel;Thomas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;_thomasrachel;person
11002765;Röttgen;Norbert;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;n_roettgen;person
11002812;Straubinger;Max;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003034;Bartsch;Dietmar;20;Fraktion DIE LINKE.;DietmarBartsch;person
11003068;Deligöz;Ekin;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;ekindeligoez;person
11003124;Friedrich;Hans-Peter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;HPFriedrichCSU;person
11003132;Göring-Eckardt;Katrin;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;GoeringEckardt;person
11003142;Heil;Hubertus;20;Fraktion der Sozialdemokratischen Partei Deutschlands;hubertus_heil;person
11003162;Kramme;Anette;20;Fraktion der Sozialdemokratischen Partei Deutschlands;AnetteKramme;person
11003199;Nietan;Dietmar;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11003206;Pau;Petra;20;Fraktion DIE LINKE.;PetraPauMaHe;person
11003212;Roth;Claudia;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;;person
11003213;Roth;Michael;20;Fraktion der Sozialdemokratischen Partei Deutschlands;MiRo_SPD;person
11003218;Schneider;Carsten;20;Fraktion der Sozialdemokratischen Partei Deutschlands;schneidercar;person
11003231;Scholz;Olaf;20;Fraktion der Sozialdemokratischen Partei Deutschlands;OlafScholz;person
11003246;Trittin;Jürgen;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;JTrittin;person
11003259;Widmann-Mauz;Annette;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;AWidmannMauz;person
11003264;Willsch;Klaus-Peter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003440;Griese;Kerstin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;KerstinGriese;person
11003496;Bartol;Sören;20;Fraktion der Sozialdemokratischen Partei Deutschlands;soerenbartol;person
11003510;Braun;Helge;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;HBraun;person
11003514;Connemann;Gitta;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;gitta_connemann;person
11003516;Dobrindt;Alexander;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003525;Ferlemann;Enak;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003530;Fricke;Otto;20;Fraktion der Freien Demokratischen Partei;Otto_Fricke;person
11003541;Grosse-Brömer;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;MGrosseBroemer;person
11003542;Grübel;Markus;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;GruebelMdb;person
11003544;Gutting;Olav;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;olavgutting;person
11003545;Hagedorn;Bettina;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11003551;Hennrich;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;MichaelHennric2;person
11003566;Klöckner;Julia;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;JuliaKloeckner;person
11003573;Krichbaum;Gunther;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;GuntherKrichba3;person
11003574;Krings;Günter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;guenterkrings;person
11003576;Künast;Renate;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;RenateKuenast;person
11003578;Kurth;Markus;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;markuskurthmdb;person
11003582;Lips;Patricia;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003584;Lötzsch;Gesine;20;Fraktion DIE LINKE.;LoetzschMdB;person
11003585;Lührmann;Anna;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;AnnaLuehrmann;person
11003586;Bär;Dorothee;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;DoroBaer;person
11003589;Mayer;Stephan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;StephanMayerCSU;person
11003597;Müller;Stefan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;smuellermdb;person
11003599;Mützenich;Rolf;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11003613;Ludwig;Daniela;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;DaniLudwigMdB;person
11003620;Rupprecht;Albert;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003624;Schäfer;Axel;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11003625;Scheuer;Andreas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;andreasscheuer;person
11003636;Silberhorn;Thomas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;SilberhornMdB;person
11003638;Spahn;Jens;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;jensspahn;person
11003639;Stetten;Christian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;CvStetten;person
11003643;Storjohann;Gero;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;gero_storjohann;person
11003646;Tillmann;Antje;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;AntjeTillmann;person
11003655;Wanderwitz;Marco;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;wanderwitz;person
11003702;Wissing;Volker;20;Fraktion der Freien Demokratischen Partei;Wissing;person
11003706;Auernhammer;Artur;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003710;Kofler;Bärbel;20;Fraktion der Sozialdemokratischen Partei Deutschlands;BaerbelKofler;person
11003715;Klingbeil;Lars;20;Fraktion der Sozialdemokratischen Partei Deutschlands;larsklingbeil;person
11003732;Annen;Niels;20;Fraktion der Sozialdemokratischen Partei Deutschlands;NielsAnnen;person
11003734;Bareiß;Thomas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Thomas_Bareiss;person
11003742;Brand;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003746;Dağdelen;Sevim;20;Fraktion DIE LINKE.;SevimDagdelen;person
11003753;Ernst;Klaus;20;Fraktion DIE LINKE.;ernst_klaus;person
11003756;Gehring;Kai;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;KaiGehring;person
11003758;Gerster;Martin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
