Source;Target;Tie_type;Weight
ABaerbockArchiv;ABaerbockArchiv;same person;1
ABaerbockArchiv;GoeringEckardt;strong;1
ABaerbockArchiv;GruenClaudia;strong;1
ABaerbockArchiv;MiKellner;strong;2
ABaerbockArchiv;agnieszka_mdb;strong;1
ABaerbockArchiv;fbrantner;strong;1
ABaerbockArchiv;filizgreen;strong;1
AWidmannMauz;AWidmannMauz;same person;4
AWidmannMauz;GoeringEckardt;weak;1
AWidmannMauz;HBraun;weak;1
AWidmannMauz;HeikoMaas;strong;1
AWidmannMauz;KLeikert;strong;1
AWidmannMauz;KarambaDiaby;weak;1
AWidmannMauz;PaulZiemiak;strong;2
AWidmannMauz;filizgreen;weak;1
AWidmannMauz;nouripour;no tie;1
AWidmannMauz;rbrinkhaus;strong;2
A_Gloeckner;A_Gloeckner;same person;2
A_Gloeckner;Bundeskanzler;no tie;1
A_Gloeckner;FrankSchwabe;strong;1
A_Gloeckner;HeikoMaas;weak;1
A_Gloeckner;KuehniKev;strong;1
A_Gloeckner;OlafScholz;strong;1
A_Gloeckner;ThomasHitschler;strong;1
A_Gloeckner;UliGroetsch;strong;1
A_Gloeckner;baerbelbas;strong;1
A_Gloeckner;hubertus_heil;strong;4
A_Gloeckner;larsklingbeil;strong;1
A_Gloeckner;oezoguz;strong;1
A_Gloeckner;schneidercar;strong;1
Achim_P;s_schwartze;strong;1
AfDProtschka;AfDProtschka;same person;8
AfDProtschka;Beatrix_vStorch;strong;2
AfDProtschka;Dr_Rainer_Kraft;strong;1
AfDProtschka;M_Reichardt_AfD;strong;1
AfDProtschka;Tino_Chrupalla;strong;1
AkbulutGokay;AkbulutGokay;same person;3
AkbulutGokay;CarenLay;strong;1
AkbulutGokay;DietmarBartsch;weak;1
AkbulutGokay;MartinaRenner;strong;1
AkbulutGokay;SusanneHennig;weak;1
AkbulutGokay;filizgreen;weak;2
Amira_M_Ali;GregorGysi;strong;1
Amira_M_Ali;b_riexinger;strong;1
Amira_M_Ali;c_lindner;no tie;1
Amira_M_Ali;jankortemdb;strong;2
AnAudretsch;AnAudretsch;same person;2
AnAudretsch;GrueneBeate;strong;1
AnAudretsch;PaulZiemiak;weak;1
AnAudretsch;Thomas_Bareiss;no tie;1
AnAudretsch;svenlehmann;strong;1
AndreaLindholz;DoroBaer;strong;2
AndreaLindholz;JoWadephul;strong;1
Andreas_Rimkus;Andreas_Rimkus;same person;2
Andreas_Rimkus;BerndWestphal4;weak;1
Andreas_Rimkus;FalkoMohrs;strong;1
Andreas_Rimkus;FrankSchwabe;strong;1
Andreas_Rimkus;OlafScholz;strong;4
Andreas_Rimkus;dieschmidt;strong;1
Andreas_Rimkus;hubertus_heil;strong;1
AndrejHunko;AndrejHunko;same person;139
AndrejHunko;Lambsdorff;no tie;1
AnikoMerten;AnikoMerten;same person;2
AnikoMerten;c_lindner;strong;1
AnikoMerten;ria_schroeder;strong;1
AnnaLuehrmann;ABaerbockArchiv;weak;1
AnnaLuehrmann;BriHasselmann;strong;1
AnnaLuehrmann;LamyaKaddor;no tie;1
AnnaLuehrmann;MiRo_SPD;strong;1
AnnaLuehrmann;Ricarda_Lang;strong;1
AnnaLuehrmann;andreasscheuer;no tie;1
AnnaLuehrmann;badulrichmartha;no tie;1
AnnaLuehrmann;nouripour;strong;1
AnnaLuehrmann;till_steffen;strong;1
AnneSpallek;ManuelaRottman;strong;1
AnneSpallek;MiKellner;strong;1
AnneSpallek;Oliver_Krischer;strong;2
AnneSpallek;OpheliaNick;strong;1
AnneSpallek;RenateKuenast;strong;1
AnneSpallek;Thomas_Bareiss;no tie;1
AnneSpallek;cem_oezdemir;strong;1
AnneSpallek;cj_schroeder;strong;1
AnneSpallek;ebner_sha;strong;1
AnniKlose;AnniKlose;same person;3
AnniKlose;stuewer;strong;1
AntjeTillmann;OlafScholz;weak;1
ArianeFaescher;MiRo_SPD;no tie;1
ArianeFaescher;OlafScholz;weak;1
ArmandZorn;Bundeskanzler;weak;1
ArmandZorn;hubertus_heil;weak;1
ArminGrau;Karl_Lauterbach;weak;2
