Source;Target;Tie_type;Weight
ABaerbockArchiv;ChrisKuehn_mdb;strong;2
ABaerbockArchiv;Erhard_Grundl;strong;1
ABaerbockArchiv;GoeringEckardt;strong;2
ABaerbockArchiv;GruenClaudia;strong;1
ABaerbockArchiv;GrueneBeate;strong;1
ABaerbockArchiv;IreneMihalic;strong;8
ABaerbockArchiv;JTrittin;strong;3
ABaerbockArchiv;MiKellner;strong;22
ABaerbockArchiv;Oliver_Krischer;strong;11
ABaerbockArchiv;SteffiLemke;weak;5
ABaerbockArchiv;agnieszka_mdb;strong;3
ABaerbockArchiv;detzer_sandra;strong;1
ABaerbockArchiv;ekindeligoez;strong;4
ABaerbockArchiv;fbrantner;strong;6
ABaerbockArchiv;filizgreen;strong;1
ABaerbockArchiv;jamila_anna;strong;3
ABaerbockArchiv;katdro;strong;9
ABaerbockArchiv;nouripour;strong;6
ABaerbockArchiv;sven_kindler;strong;1
ABaerbockArchiv;ulle_schauws;strong;1
AWidmannMauz;ABaerbockArchiv;strong;1
AWidmannMauz;AWidmannMauz;same person;1
AWidmannMauz;ArminLaschet;strong;1
AWidmannMauz;DoroBaer;strong;1
AWidmannMauz;HeikeBrehmerMdB;weak;1
AWidmannMauz;JM_Luczak;weak;1
AWidmannMauz;NadineSchoen;strong;1
AWidmannMauz;PaulZiemiak;strong;6
AWidmannMauz;RKiesewetter;strong;1
AWidmannMauz;VolkerUllrich;strong;2
AWidmannMauz;groehe;strong;3
AWidmannMauz;inge_graessle;strong;1
AWidmannMauz;jensspahn;weak;1
AWidmannMauz;rbrinkhaus;strong;1
AWidmannMauz;tj_tweets;weak;3
A_Gloeckner;FrankSchwabe;strong;1
A_Gloeckner;KarambaDiaby;strong;2
A_Gloeckner;KerstinGriese;weak;1
A_Gloeckner;MarcoBuschmann;no tie;1
A_Gloeckner;NielsAnnen;weak;1
A_Gloeckner;OlafScholz;strong;1
A_Gloeckner;hubertus_heil;strong;1
A_Gloeckner;larscastellucci;strong;1
A_Gloeckner;larsklingbeil;strong;1
A_Gloeckner;schneidercar;strong;2
Achim_P;KaczmarekOliver;strong;1
Achim_P;OlafScholz;strong;5
Achim_P;ThomasHitschler;strong;1
Achim_P;baerbelbas;strong;1
Achim_P;f_schaeffler;strong;1
Achim_P;helgelindh;strong;1
Achim_P;hubertus_heil;strong;3
Achim_P;larsklingbeil;strong;5
Achim_P;s_schwartze;strong;1
Achim_P;schneidercar;strong;3
AfDProtschka;Beatrix_vStorch;strong;1
AfDProtschka;Gerold_Otten;strong;1
AfDProtschka;M_Reichardt_AfD;strong;1
AfDProtschka;PeterBoehringer;weak;1
AfDProtschka;Thomas_Ehrhorn;strong;1
AfDProtschka;TobiasMPeterka;strong;3
AfDrus;Leif_Erik_Holm;strong;1
AfDrus;Nicole_Hoechst;strong;1
AfDrus;RogerBeckamp;strong;3
AkbulutGokay;AndrejHunko;strong;3
AkbulutGokay;C_AB_;strong;2
AkbulutGokay;CarenLay;strong;1
AkbulutGokay;Conni_Moehring;strong;6
AkbulutGokay;DietmarBartsch;weak;2
AkbulutGokay;GregorGysi;weak;3
AkbulutGokay;Janine_Wissler;weak;3
AkbulutGokay;KarambaDiaby;strong;1
AkbulutGokay;MartinaRenner;strong;7
AkbulutGokay;NicoleGohlke;strong;1
AkbulutGokay;PetraPauMaHe;weak;1
AkbulutGokay;Petra_Sitte_MdB;strong;1
AkbulutGokay;SusanneHennig;weak;1
AkbulutGokay;b_riexinger;strong;14
AkbulutGokay;jankortemdb;strong;2
AkbulutGokay;katjakipping;weak;2
AkbulutGokay;mesarosch;no tie;1
