Source;Target
ArminLaschet;GregorGysi
SteffiLemke;GregorGysi
GregorGysi;cem_oezdemir
cem_oezdemir;GregorGysi
GregorGysi;DietmarBartsch
DietmarBartsch;GregorGysi
ekindeligoez;GregorGysi
HPFriedrichCSU;GregorGysi
GregorGysi;GoeringEckardt
GoeringEckardt;GregorGysi
GregorGysi;PetraPauMaHe
GregorGysi;schneidercar
schneidercar;GregorGysi
GregorGysi;OlafScholz
OlafScholz;GregorGysi
JTrittin;GregorGysi
KerstinGriese;GregorGysi
GregorGysi;JuliaKloeckner
JuliaKloeckner;GregorGysi
GregorGysi;LoetzschMdB
LoetzschMdB;GregorGysi
GregorGysi;DoroBaer
DoroBaer;GregorGysi
gero_storjohann;GregorGysi
NielsAnnen;GregorGysi
SevimDagdelen;GregorGysi
GregorGysi;ernst_klaus
ernst_klaus;GregorGysi
BriHasselmann;GregorGysi
GregorGysi;katjakipping
katjakipping;GregorGysi
GregorGysi;jankortemdb
jankortemdb;GregorGysi
Karl_Lauterbach;GregorGysi
f_schaeffler;GregorGysi
FrankSchwabe;GregorGysi
GregorGysi;Petra_Sitte_MdB
Petra_Sitte_MdB;GregorGysi
florian_toncar;GregorGysi
W_SK;GregorGysi
GregorGysi;MWBirkwald
MWBirkwald;GregorGysi
reinhardbrandl;GregorGysi
MarcoBuschmann;GregorGysi
FrankeEdgar;GregorGysi
thomasgebhart;GregorGysi
NicoleGohlke;GregorGysi
MechthildHeil;GregorGysi
AndrejHunko;GregorGysi
sven_kindler;GregorGysi
GregorGysi;CarenLay
CarenLay;GregorGysi
RLenkert;GregorGysi
LFLindemann;GregorGysi
GregorGysi;c_lindner
c_lindner;GregorGysi
thlutze;GregorGysi
Conni_Moehring;GregorGysi
GrueneBeate;GregorGysi
KonstantinNotz;GregorGysi
lisapaus;GregorGysi
GregorGysi;voglerk
voglerk;GregorGysi
JoWadephul;GregorGysi
GregorGysi;SWagenknecht
SWagenknecht;GregorGysi
tobiaslindner;GregorGysi
HellmichMdB;GregorGysi
reinholdmdb;GregorGysi
KarambaDiaby;GregorGysi
katdro;GregorGysi
MetinHakverdi;GregorGysi
sebast_hartmann;GregorGysi
DJanecek;GregorGysi
CanselK;GregorGysi
ChrisKuehn_mdb;GregorGysi
DerLenzMdB;GregorGysi
BetMueller;GregorGysi
Mi_Muentefering;GregorGysi
Achim_P;GregorGysi
GregorGysi;MartinaRenner
MartinaRenner;GregorGysi
NinaScheer_SPD;GregorGysi
Schwarz_MdB;GregorGysi
stadler_svenja;GregorGysi
StegemannAlbert;GregorGysi
julia_verlinden;GregorGysi
Kai_Whittaker;GregorGysi
DirkWieseSPD;GregorGysi
RonjaKemmer;GregorGysi
AkbulutGokay;GregorGysi
badulrichmartha;GregorGysi
MBiadaczMdB;GregorGysi
JBrandenburgFDP;GregorGysi
BraFDP;GregorGysi
Brehm_inNBGNord;GregorGysi
LeniBreymaier;GregorGysi
PetrBystronAfD;GregorGysi
anked;GregorGysi
christianduerr;GregorGysi
TErndl;GregorGysi
DrMEspendiller;GregorGysi
MarcusFaber;GregorGysi
SusanneFerschl;GregorGysi
KayGottschalk1;GregorGysi
Erhard_Grundl;GregorGysi
HerbrandMarkus;GregorGysi
Martin_Hess_AfD;GregorGysi
HilseMdb;GregorGysi
GeroHocker;GregorGysi
bhoffmann_mdb;GregorGysi
Leif_Erik_Holm;GregorGysi
Kaiser_SPD;GregorGysi
DanielaKluckert;GregorGysi
koehler_fdp;GregorGysi
carina_konrad;GregorGysi
KonstantinKuhle;GregorGysi
ulrichlechte;GregorGysi
svenlehmann;GregorGysi
GregorGysi;HeikoMaas
HeikoMaas;GregorGysi
pascalmeiser;GregorGysi
GregorGysi;Amira_M_Ali
Amira_M_Ali;GregorGysi
GruenClaudia;GregorGysi
S_Muenzenmaier;GregorGysi
ZaklinNastic;GregorGysi
josephineortleb;GregorGysi
Gerold_Otten;GregorGysi
victorperli;GregorGysi
AfDProtschka;GregorGysi
M_Reichardt_AfD;GregorGysi
reuther_bernd;GregorGysi
GregorGysi;b_riexinger
b_riexinger;GregorGysi
Chr_Sauter;GregorGysi
NilsSchmid;GregorGysi
felixschreiner;GregorGysi
Uwe_Schulz_AfD;GregorGysi
Th_Seitz_AfD;GregorGysi
starkwatzinger;GregorGysi
stonie_kiel;GregorGysi
Beatrix_vStorch;GregorGysi
MAStrackZi;GregorGysi
jessica_tatti;GregorGysi
EUTheurer;GregorGysi
alexander_throm;GregorGysi
sandra_weeser;GregorGysi
PaulZiemiak;GregorGysi
Doro_Martin;GregorGysi
janoschdahmen;GregorGysi
katjadler;GregorGysi
arlt_johannes;GregorGysi
AnAudretsch;GregorGysi
baldy_daniel;GregorGysi
fbanaszak;GregorGysi
kathabeck;GregorGysi
BengtBergt;GregorGysi
JakobBla;GregorGysi
isacademartori;GregorGysi
MarioCzaja;GregorGysi
MDiedenhofen;GregorGysi
JanUlrichDieren;GregorGysi
Leckert_;GregorGysi
sonjaeichwede;GregorGysi
emiliafester;GregorGysi
fiedelseb;GregorGysi
funke_fabian;GregorGysi
max_fksr;GregorGysi
schahinag;GregorGysi
JN_Gesenhues;GregorGysi
Hannes_Gnauck;GregorGysi
goerke_c;GregorGysi
AtesGuerpinar;GregorGysi
SusanneHennig;GregorGysi
Bruno_Hoenel;GregorGysi
CarlosKasperMdB;GregorGysi
RainerKellerWES;GregorGysi
FKerstenMdB;GregorGysi
chantal_kopf;GregorGysi
GregorGysi;KuehniKev
KuehniKev;GregorGysi
Ricarda_Lang;GregorGysi
christian_leye;GregorGysi
Helge_Limburg;GregorGysi
denise_loop;GregorGysi
max_lucks;GregorGysi
kristine_lutke;GregorGysi
HolgerMannLE;GregorGysi
f_mascheck;GregorGysi
Kthrn_Mchl_SPD;GregorGysi
borismijatovic;GregorGysi
SaraNanni;GregorGysi
karo_otte;GregorGysi
J_Pahlke;GregorGysi
Dr_Pantazis;GregorGysi
JanPlobner;GregorGysi
HeidiReichinnek;GregorGysi
jethoru;GregorGysi
jamila_anna;GregorGysi
sebastian_es_;GregorGysi
schneider_cux;GregorGysi
ria_schroeder;GregorGysi
_anja_schulz;GregorGysi
nyke_slawik;GregorGysi
AnneSpallek;GregorGysi
spellerberg_m;GregorGysi
GregorGysi;Ralf_Stegner
Ralf_Stegner;GregorGysi
nadjasthamer;GregorGysi
NicoTippelt;GregorGysi
derya_tn;GregorGysi
robinwagener;GregorGysi
yooHannes;GregorGysi
Krawallstein;GregorGysi
TobiasWINKLER_;GregorGysi
GregorGysi;Janine_Wissler
Janine_Wissler;GregorGysi
C_AB_;GregorGysi
HueppeMdB;_friedrichmerz
HueppeMdB;n_roettgen
n_roettgen;HueppeMdB
agnieszka_mdb;GregorGysi
TabeaRoessner;GregorGysi
johannesvogel;GregorGysi
Johann_Saathoff;GregorGysi
theliberalfrank;GregorGysi
LINKEPELLI;GregorGysi
JasminaHostert;GregorGysi
stefan_seidler;GregorGysi
HueppeMdB;SteffenBilger
SteffenBilger;HueppeMdB
HueppeMdB;axel_knoerig
axel_knoerig;HueppeMdB
HueppeMdB;MatthiasHauer
MatthiasHauer;HueppeMdB
HueppeMdB;ninawarken
ninawarken;HueppeMdB
HueppeMdB;Brehm_inNBGNord
HueppeMdB;MarcHenrichmann
HueppeMdB;NicoleWestig
NicoleWestig;HueppeMdB
HueppeMdB;MarioCzaja
HueppeMdB;PaulaPiechotta
PaulaPiechotta;HueppeMdB
HueppeMdB;CatarinaDosSa
CatarinaDosSa;HueppeMdB
HueppeMdB;schenderleinmdb
schenderleinmdb;HueppeMdB
groehe;ArminLaschet
ArminLaschet;groehe
SteffiLemke;groehe
groehe;meister_schafft
meister_schafft;groehe
groehe;_friedrichmerz
_friedrichmerz;groehe
groehe;cem_oezdemir
cem_oezdemir;groehe
groehe;_thomasrachel
_thomasrachel;groehe
groehe;n_roettgen
n_roettgen;groehe
ekindeligoez;groehe
groehe;GoeringEckardt
GoeringEckardt;groehe
groehe;hubertus_heil
hubertus_heil;groehe
MiRo_SPD;groehe
schneidercar;groehe
groehe;OlafScholz
OlafScholz;groehe
groehe;JTrittin
groehe;AWidmannMauz
AWidmannMauz;groehe
KerstinGriese;groehe
groehe;HBraun
HBraun;groehe
groehe;Otto_Fricke
groehe;MGrosseBroemer
MGrosseBroemer;groehe
GruebelMdb;groehe
groehe;olavgutting
olavgutting;groehe
groehe;JuliaKloeckner
JuliaKloeckner;groehe
groehe;guenterkrings
guenterkrings;groehe
groehe;DoroBaer
DoroBaer;groehe
groehe;smuellermdb
smuellermdb;groehe
groehe;andreasscheuer
groehe;jensspahn
jensspahn;groehe
gero_storjohann;groehe
groehe;AntjeTillmann
groehe;wanderwitz
wanderwitz;groehe
groehe;Wissing
Wissing;groehe
NielsAnnen;groehe
Thomas_Bareiss;groehe
KaiGehring;groehe
groehe;BriHasselmann
BriHasselmann;groehe
groehe;Karl_Lauterbach
Karl_Lauterbach;groehe
f_schaeffler;groehe
nouripour;groehe
groehe;ChristianHirte
groehe;PeterAumer
PeterAumer;groehe
Peter_Beyer;groehe
groehe;SteffenBilger
SteffenBilger;groehe
reinhardbrandl;groehe
groehe;HeikeBrehmerMdB
HeikeBrehmerMdB;groehe
groehe;rbrinkhaus
rbrinkhaus;groehe
DjirSarai;groehe
FrankeEdgar;groehe
MichaelFrieser;groehe
groehe;thomasgebhart
thomasgebhart;groehe
groehe;hahnflo
hahnflo;groehe
groehe;juergenhardt
juergenhardt;groehe
groehe;MechthildHeil
MechthildHeil;groehe
ManuelHoeferlin;groehe
groehe;tj_tweets
tj_tweets;groehe
groehe;RKiesewetter
RKiesewetter;groehe
sven_kindler;groehe
groehe;MariaKlSchmeink
MariaKlSchmeink;groehe
groehe;axel_knoerig
axel_knoerig;groehe
groehe;UlrichLange
LFLindemann;groehe
groehe;c_lindner
c_lindner;groehe
JM_Luczak;groehe
AMattfeldt;groehe
groehe;NadineSchoen
NadineSchoen;groehe
GrueneBeate;groehe
oezoguz;groehe
lisapaus;groehe
TabeaRoessner;groehe
groehe;Erwin_Rueddel
Erwin_Rueddel;groehe
groehe;Pschnieder
Pschnieder;groehe
StephanThomae;groehe
groehe;johannesvogel
johannesvogel;groehe
voglerk;groehe
groehe;JoWadephul
JoWadephul;groehe
ebner_sha;groehe
tobiaslindner;groehe
MTodtenhausen;groehe
HellmichMdB;groehe
groehe;ABaerbock
groehe;larscastellucci
larscastellucci;groehe
dittmarsabine;groehe
groehe;thorsten_frei
groehe;MatthiasHauer
MatthiasHauer;groehe
StHeck;groehe
Hoffmann_MdB;groehe
groehe;AnjaKarliczek
AnjaKarliczek;groehe
SilkeLaunert;groehe
groehe;KLeikert
KLeikert;groehe
DerLenzMdB;groehe
groehe;AndreaLindholz
AndreaLindholz;groehe
YvonneMagwas;groehe
BetMueller;groehe
Florian_Ossner;groehe
AlexanderRadwan;groehe
crueffer;groehe
ulle_schauws;groehe
K_SA;groehe
Schwarz_MdB;groehe
groehe;TinoSorge
TinoSorge;groehe
groehe;StefingerMdB
StefingerMdB;groehe
groehe;StegemannAlbert
StegemannAlbert;groehe
JoSteiniger;groehe
groehe;VolkerUllrich
VolkerUllrich;groehe
groehe;ninawarken
ninawarken;groehe
groehe;anjaweisgerber
anjaweisgerber;groehe
groehe;Kai_Whittaker
Kai_Whittaker;groehe
uhl_markus;groehe
badulrichmartha;groehe
MBiadaczMdB;groehe
BraFDP;groehe
Brehm_inNBGNord;groehe
cjcronenberg;groehe
groehe;christianduerr
TErndl;groehe
groehe;FahimiYasmin
groehe;ThomasHeilmann
ThomasHeilmann;groehe
groehe;MarcHenrichmann
MarcHenrichmann;groehe
HerbrandMarkus;groehe
Martin_Hess_AfD;groehe
Ingmar_Jung;groehe
koehler_fdp;groehe
groehe;Lambsdorff
svenlehmann;groehe
groehe;HeikoMaas
HeikoMaas;groehe
pascalmeiser;groehe
groehe;mueller_sepp
mueller_sepp;groehe
josephineortleb;groehe
josefoster;groehe
StephPilsinger;groehe
christophploss;groehe
AfDProtschka;groehe
groehe;StefanRouenhoff
felixschreiner;groehe
BjoernSimon;groehe
katrin_staffler;groehe
starkwatzinger;groehe
stonie_kiel;groehe
Beatrix_vStorch;groehe
groehe;MAStrackZi
MAStrackZi;groehe
EUTheurer;groehe
alexander_throm;groehe
VriesChristoph;groehe
groehe;PaulZiemiak
PaulZiemiak;groehe
Bubendorferfdp;groehe
janoschdahmen;groehe
_sanaeabdi;groehe
groehe;ReemAlabali
fbanaszak;groehe
DrChristinaBaum;groehe
YannickBury;groehe
groehe;MarioCzaja
MarioCzaja;groehe
Leckert_;groehe
fiedelseb;groehe
max_fksr;groehe
groehe;SerapGueler
SerapGueler;groehe
groehe;HierlSusanne
HierlSusanne;groehe
groehe;FHoppermann
FHoppermann;groehe
MiKellner;groehe
groehe;AnneKoenig_
AnneKoenig_;groehe
krusehamburg;groehe
groehe;TKuban96
TKuban96;groehe
groehe;KuehniKev
KuehniKev;groehe
groehe;Ricarda_Lang
Ricarda_Lang;groehe
EsraLimbacher;groehe
kristine_lutke;groehe
maxmordhorst;groehe
SaraNanni;groehe
groehe;HenningRehbaum
groehe;MarkusReichelDD
MarkusReichelDD;groehe
groehe;CatarinaDosSa
CatarinaDosSa;groehe
jamila_anna;groehe
sebastian_es_;groehe
schenderleinmdb;groehe
ria_schroeder;groehe
groehe;SvenjaSchulze68
Ralf_Stegner;groehe
groehe;NZippelius
NZippelius;groehe
ArminLaschet;meister_schafft
meister_schafft;ArminLaschet
ArminLaschet;_friedrichmerz
_friedrichmerz;ArminLaschet
ArminLaschet;cem_oezdemir
cem_oezdemir;ArminLaschet
ArminLaschet;_thomasrachel
_thomasrachel;ArminLaschet
n_roettgen;ArminLaschet
ekindeligoez;ArminLaschet
HPFriedrichCSU;ArminLaschet
ArminLaschet;GoeringEckardt
GoeringEckardt;ArminLaschet
