"source_screen_name;source_id;target_screen_name;target_id;following;api_call"
"Bundeskanzler;1489164711652466688;GregorGysi;888289790;False;2022-06-15 10:34:36.392534"
"GregorGysi;888289790;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:36.392534"
"Bundeskanzler;1489164711652466688;HueppeMdB;1451186638894239751;False;2022-06-15 10:34:36.816642"
"HueppeMdB;1451186638894239751;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:36.816642"
"Bundeskanzler;1489164711652466688;groehe;94363834;False;2022-06-15 10:34:37.220368"
"groehe;94363834;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:37.220368"
"Bundeskanzler;1489164711652466688;ArminLaschet;835541664;False;2022-06-15 10:34:37.656999"
"ArminLaschet;835541664;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:37.656999"
"Bundeskanzler;1489164711652466688;SteffiLemke;17229513;True;2022-06-15 10:34:38.050051"
"SteffiLemke;17229513;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:38.050051"
"Bundeskanzler;1489164711652466688;meister_schafft;34214048;False;2022-06-15 10:34:38.902606"
"meister_schafft;34214048;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:38.902606"
"Bundeskanzler;1489164711652466688;_friedrichmerz;1059395748289232896;False;2022-06-15 10:34:39.397398"
"_friedrichmerz;1059395748289232896;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:39.397398"
"Bundeskanzler;1489164711652466688;cem_oezdemir;19108766;True;2022-06-15 10:34:39.941082"
"cem_oezdemir;19108766;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:39.941082"
"Bundeskanzler;1489164711652466688;_thomasrachel;1052524172717375488;False;2022-06-15 10:34:40.470000"
"_thomasrachel;1052524172717375488;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:40.470000"
"Bundeskanzler;1489164711652466688;n_roettgen;1040160799208161280;False;2022-06-15 10:34:41.116673"
"n_roettgen;1040160799208161280;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:41.116673"
"Bundeskanzler;1489164711652466688;DietmarBartsch;2320519958;False;2022-06-15 10:34:41.640172"
"DietmarBartsch;2320519958;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:41.640172"
"Bundeskanzler;1489164711652466688;ekindeligoez;22125770;False;2022-06-15 10:34:42.228668"
"ekindeligoez;22125770;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:42.228668"
"Bundeskanzler;1489164711652466688;HPFriedrichCSU;1470300980155764741;False;2022-06-15 10:34:42.562887"
"HPFriedrichCSU;1470300980155764741;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:42.562887"
"Bundeskanzler;1489164711652466688;GoeringEckardt;626287930;False;2022-06-15 10:34:42.945401"
"GoeringEckardt;626287930;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:42.945401"
"Bundeskanzler;1489164711652466688;hubertus_heil;15943222;True;2022-06-15 10:34:43.280028"
"hubertus_heil;15943222;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:43.280028"
"Bundeskanzler;1489164711652466688;AnetteKramme;1461705757;False;2022-06-15 10:34:43.662967"
"AnetteKramme;1461705757;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:43.662967"
"Bundeskanzler;1489164711652466688;PetraPauMaHe;560467206;False;2022-06-15 10:34:44.006614"
"PetraPauMaHe;560467206;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:44.006614"
"Bundeskanzler;1489164711652466688;MiRo_SPD;1114675538;False;2022-06-15 10:34:44.378959"
"MiRo_SPD;1114675538;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:44.378959"
"Bundeskanzler;1489164711652466688;schneidercar;96783215;True;2022-06-15 10:34:44.789170"
"schneidercar;96783215;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:44.789170"
"Bundeskanzler;1489164711652466688;OlafScholz;38150247;False;2022-06-15 10:34:45.134208"
"OlafScholz;38150247;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:45.134208"
"Bundeskanzler;1489164711652466688;JTrittin;485751594;False;2022-06-15 10:34:45.505597"
"JTrittin;485751594;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:45.505597"
"Bundeskanzler;1489164711652466688;AWidmannMauz;3351905747;False;2022-06-15 10:34:45.915883"
"AWidmannMauz;3351905747;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:45.915883"
"Bundeskanzler;1489164711652466688;KerstinGriese;39709752;False;2022-06-15 10:34:46.324762"
"KerstinGriese;39709752;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:46.324762"
"Bundeskanzler;1489164711652466688;HBraun;19108071;False;2022-06-15 10:34:46.679941"
"HBraun;19108071;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:46.679941"
"Bundeskanzler;1489164711652466688;gitta_connemann;1125751445205262336;False;2022-06-15 10:34:47.041516"
